1000,1==0+0!+0
1001,1==0+0+1
1002,1==0+0!%2
1003,1==0+0!%3
1004,1==0+0!%4
1005,1==0+0!%5
1006,1==0+0!%6
1007,1==0+0!%7
1008,1==0+0!%8
1009,1==0+0!%9
1010,1==0+1+0
1011,1==0+1*1
1012,1+0+1==2
1013,1==0+1%3
1014,1+0+1==sqrt(4)
1015,1==0+1%5
1016,1==0+1%6
1017,1==0+1%7
1018,1==0+1%8
1019,1==0+1%9
1020,1==0!+2*0
1021,1==0+2-1
1022,1==0+2/2
1023,1+0+2==3
1024,1+0!+2==4
1025,1==0!%(2+5)
1026,1==0!%(2+6)
1027,1==0!%(2+7)
1028,1==0!%(2+8)
1029,1+0+2==sqrt(9)
1030,1==0!+3*0
1031,1==0*3+1
1032,sqrt(1+0+3)==2
1033,1==0+3/3
1034,1+0+3==4
1035,1==0+3!-5
1036,1==0+3!/6
1037,1==0-3!+7
1038,1==0!%(3+8)
1039,1==0!%(3+9)
1040,1==0!+4*0
1041,1==sqrt(0+4)-1
1042,1==sqrt(0+4)/2
1043,1+sqrt(0+4)==3
1044,1==0+4/4
1045,1+0+4==5
1046,1+0!+4==6
1047,1==0!%(4+7)
1048,1==0!+4!%8
1049,1==0!%(4+9)
1050,1==0!+5*0
1051,1==0*5+1
1052,1==0+5%2
1053,1==(0-5)%3
1054,1==0+5-4
1055,1==0+5/5
1056,1+0+5==6
1057,1==0+5!%7
1058,1==0!+5!%8
1059,1==0!%(5+9)
1060,1==0!+6*0
1061,1==0*6+1
1062,1==0!+6%2
1063,1==0!+6%3
1064,1==0!+6!%4
1065,1==0+6-5
1066,1==0+6/6
1067,1+0+6==7
1068,1+0!+6==8
1069,1==0!+6!%9
1070,1==0!+7*0
1071,1==0*7+1
1072,1==0+7%2
1073,1==0+7%3
1074,1==(0-7)%4
1075,1==0!+7!%5
1076,1==0+7-6
1077,1==0+7/7
1078,1+0+7==8
1079,1+0!+7==9
1080,1==0!+8*0
1081,1==0*8+1
1082,1==sqrt(0!+8)-2
1083,sqrt(1+0+8)==3
1084,1+sqrt(0!+8)==4
1085,1==0!+8!%5
1086,1==0!+8!%6
1087,1==0+8-7
1088,1==0+8/8
1089,1+0+8==9
1090,1==0!+9*0
1091,1==0*9+1
1092,1==sqrt(0+9)-2
1093,1==sqrt(0+9)/3
1094,1+sqrt(0+9)==4
1095,1==(0-9)%5
1096,1==0!+9!%6
1097,1==0!+9!%7
1098,1==0+9-8
1099,1==0+9/9
1100,1==1+0+0
1101,1==1+0*1
1102,1+1==0+2
1103,1==1+0*3
1104,1+1==sqrt(0+4)
1105,1==1+0*5
1106,1==1+0*6
1107,1==1+0*7
1108,1==1+0*8
1109,1==1+0*9
1110,1==1+1*0
1111,1+1==1+1
1112,1+1==1*2
1113,1+1==sqrt(1+3)
1114,1+1==sqrt(1*4)
1115,1==1*1%5
1116,1==1*1%6
1117,1==1*1%7
1118,1==1*1%8
1119,1+1+1==sqrt(9)
1120,1+1==2+0
1121,1+1==2*1
1122,1+1==sqrt(2+2)
1123,1==(1+2)/3
1124,1+1+2==4
1125,1+1==2%5
1126,1+1==2%6
1127,1+1==2%7
1128,1+1==2%8
1129,1+1==2%9
1130,1==1+3*0
1131,1+1==sqrt(3+1)
1132,1==sqrt(1+3)/2
1133,1+sqrt(1+3)==3
1134,1==(1+3)/4
1135,1+1+3==5
1136,1==1+3!-6
1137,1==1%(3+7)
1138,1==1%(3+8)
1139,1==1%(3+9)
1140,1+1==sqrt(4+0)
1141,1+1==sqrt(4*1)
1142,1+1==4-2
1143,1==1+4!%3
1144,1==1+4-4
1145,1==(1+4)/5
1146,1+1+4==6
1147,1+1==sqrt(4%7)
1148,1+1==sqrt(4%8)
1149,1+1==sqrt(4%9)
1150,1==1+5*0
1151,1+1==sqrt(5-1)
1152,1==1+5!%2
1153,1+1==5-3
1154,1==1+5!%4
1155,1==1+5-5
1156,1==(1+5)/6
1157,1+1+5==7
1158,1==1+5!%8
1159,1==1%(5+9)
1160,1==1+6*0
1161,1==1+6%1
1162,1+1==sqrt(6-2)
1163,1+1==6/3
1164,1+1==6-4
